run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;uct_search_count
133;1561.771163577;-5772;-2247;-1324;52;13;684950
9;1801.697173428;-6048;-1785;-596;60;15;1144286
70;2402.908219446;-6063;-2341;-790;80;20;1351007
196;1561.875289021;-6261;-1190;-562;52;13;867707
134;1681.600301728;-6152;-2046;-815;56;14;898764
71;1200.913547981;-6398;-359;-140;40;10;470714
10;1681.573292224;-5944;-2470;-1045;56;14;696011
197;1802.224347996;-5811;-3421;-1820;60;15;1410229
135;1802.301392052;-5929;-1692;-797;60;15;1175346
11;2042.384813744;-6241;-2549;-976;68;17;1056830
72;2161.660115594;-6403;-1732;-310;72;18;703839
136;1441.713897438;-6017;-1100;-656;48;12;900765
198;2161.878951897;-6371;-1854;-367;72;18;1068421
12;1080.648088637;-6575;-55;-8;36;9;450566
73;1440.876855952;-6360;-661;-247;48;12;500935
137;1321.032165051;-6188;-1005;-400;44;11;458306
13;1682.481202582;-5776;-3180;-1867;56;14;1350864
74;1441.029223066;-6435;-411;-102;48;12;300239
199;2402.528896684;-6203;-1919;-511;80;20;1039946
138;1802.819251206;-5309;-3212;-2486;60;15;1660342
14;1922.174505245;-5756;-2272;-1222;64;16;1200919
200;1681.169532104;-6346;-1121;-271;56;14;514449
75;2283.007900723;-6085;-2503;-925;76;19;1309055
139;2041.535361972;-6443;-1282;-339;68;17;714510
201;1682.209355619;-5921;-1976;-1059;56;14;874980
15;1921.995649934;-5989;-1779;-805;64;16;1067862
76;1681.598079662;-6238;-1649;-752;56;14;911225
140;1441.348270398;-5858;-1945;-1220;48;12;587626
202;1561.573059085;-5993;-1813;-774;52;13;788751
141;1561.522247444;-6295;-1477;-611;52;13;666215
77;1801.95589826;-5745;-2334;-1368;60;15;983910
16;2401.355949531;-6470;-1050;-116;80;20;745146
203;1441.2489417;-6317;-656;-229;48;12;710911
142;1683.351367987;-4890;-3020;-2669;56;14;1410877
78;2042.180686696;-5805;-2840;-1396;68;17;1297025
17;1921.992119827;-6152;-2282;-618;64;16;914231
204;1801.940916085;-6168;-1470;-619;60;15;677531
79;1921.750960586;-5905;-2082;-972;64;16;975932
18;1922.212075321;-6013;-3092;-1427;64;16;1133830
143;2642.587018208;-6252;-2058;-473;88;22;1525122
205;1682.097166413;-5633;-2781;-1373;56;14;854046
80;1441.813254206;-5576;-1910;-1291;48;12;1066686
206;1681.221954178;-6333;-1095;-385;56;14;514875
19;1921.548891229;-6396;-920;-242;64;16;636360
144;2162.046522221;-6273;-1608;-412;72;18;1068093
81;1681.488893412;-6158;-1217;-386;56;14;757316
207;1561.496509982;-6250;-1540;-538;52;13;495607
20;1802.622383999;-5806;-2271;-1212;60;15;1274354
145;2161.994876631;-6168;-1550;-525;72;18;936114
82;1561.692045514;-5557;-2137;-1236;52;13;958560
208;1561.949929589;-5954;-1859;-1185;52;13;768239
21;1441.950205552;-5916;-1749;-1038;48;12;1072445
146;1561.937315469;-6165;-1566;-662;52;13;907124
83;1683.675374845;-4908;-3537;-2627;56;14;1779601
22;1441.115447315;-6391;-826;-270;48;12;519131
209;1562.568054549;-5332;-3014;-2359;52;13;1079507
147;1681.995570945;-5785;-1950;-1101;56;14;890666
84;1802.597584164;-5606;-3068;-1817;60;15;1111918
210;1682.322285293;-5554;-3096;-2047;56;14;869789
23;2283.057265344;-5828;-3466;-1742;76;19;1466697
85;1683.138481325;-5190;-3537;-2587;56;14;1207927
148;2522.123519555;-6101;-1378;-517;84;21;1176437
24;1322.266865111;-4881;-2583;-2445;44;11;1179139
211;2282.546792574;-6039;-2005;-862;76;19;1013316
25;1562.37966563;-5170;-2320;-1765;52;13;1182716
86;2162.683527376;-6367;-1745;-343;72;18;1448991
149;2042.341112397;-5918;-2296;-950;68;17;1244054
212;1681.981099253;-5670;-2852;-1622;56;14;832975
87;1441.57633514;-6165;-988;-408;48;12;622760
213;1201.413980333;-5470;-1667;-1312;40;10;635627
150;1441.486485101;-5964;-1774;-904;48;12;624360
26;1922.009985933;-5781;-2318;-1263;64;16;1105535
214;1561.369487814;-6042;-2094;-985;52;13;657647
27;1321.020574015;-6440;-315;-97;44;11;619750
151;1561.545283257;-6418;-691;-225;52;13;699540
88;2041.560984142;-6267;-1456;-344;68;17;926261
28;1562.420070903;-5258;-2951;-2005;52;13;1099241
215;1681.800390187;-6312;-1188;-436;56;14;852022
152;1562.345336492;-5668;-3216;-1946;52;13;1224893
89;1562.742891521;-5396;-2921;-2350;52;13;1071714
153;1441.083406691;-6157;-1530;-614;48;12;508618
29;1923.151375554;-5843;-3621;-1855;64;16;1362158
216;1922.021857802;-5982;-1904;-703;64;16;1197920
90;2041.880240633;-6199;-1933;-609;68;17;1083848
30;1441.239018684;-6138;-1268;-617;48;12;494179
154;1921.837734691;-6226;-1363;-510;64;16;721058
217;1801.79666512;-5982;-2704;-1040;60;15;1012073
91;1921.735590616;-6146;-1521;-565;64;16;1009026
31;1441.982088627;-5909;-1356;-818;48;12;1041227
155;1921.83601712;-6225;-1834;-659;64;16;1262662
218;1682.997912241;-5224;-3277;-2577;56;14;1311349
92;1681.875848337;-6024;-2534;-1270;56;14;974031
219;1321.31528792;-6285;-972;-432;44;11;505571
32;2163.13091104;-5777;-3313;-1343;72;18;1204966
156;2042.328618247;-6129;-1754;-650;68;17;1114933
93;1801.432850131;-6387;-866;-170;60;15;569855
220;1921.473306443;-6413;-1631;-345;64;16;1036483
33;1922.561369419;-5886;-1661;-902;64;16;1198408
94;1921.879996271;-5894;-1750;-804;64;16;1032820
157;2282.058831813;-6352;-1371;-333;76;19;704614
34;1681.588756908;-6428;-700;-222;56;14;924097
221;2161.659040864;-6440;-1259;-220;72;18;808338
95;1681.698639787;-5959;-2314;-1383;56;14;922266
158;2163.410588544;-6169;-3311;-1517;72;18;1465343
222;1681.370944446;-6458;-1000;-262;56;14;595288
35;2523.382418497;-5769;-2674;-1040;84;21;1302642
96;1922.703973982;-6069;-2060;-949;64;16;1281889
159;1442.251715771;-5348;-2417;-1606;48;12;894789
223;1563.142214774;-4940;-3573;-3148;52;13;1464295
